Field,ID,Type (Type),default,en-US,ja-JP,zh-CN
Description,2,Text,,"MonkeyPaste is a clipboard manager, automation and productivity tool like no other. Enhancing your clipboard into an enriched and organized part of your workflow,
featuring an intuitive and low-profile interface that supports text, files and images. Designed for flexibility, with an ever-growing community-driven libray of plugins.

It began as an experiment by a programmer wanting more than just copy and paste out of the clipboard. He wanted a simple command like Control+C that would 'add to' instead 
of 'replace' what was on the clipboard. And the experiment worked, eureka! The little tool was very handy. This entrigued the programmer with more ideas and more experiments, that 
now has become ""MonkeyPaste"". 

As the desktop is to your files, MonkeyPaste intends to be to your clipboard. Its a suite of tools carefully designed to seemlessly integrate and interoperate with 
any application or format of content. Control+C and Control+V are much more than just shortcuts. They are the ports of entry all applications share, carrying a 
wealth of value and meaning you deserve to have available at your fingertips. Not just thrown away after the next Control+C.

I am that programmer mentioned earlier and I want everyone to be able to find use out of MonkeyPaste. So it and all of its features are completely free to use. 
I also want you to feel comfortable using it. So I assure you, as being the only force behind its creation, that NONE of the (very) personal information that can arise on 
your clipboard is ever tracked or stored ANYWHERE beyond your own machine. Period.","(注記！, )
MonkeyPaste は、他にはないクリップボード マネージャー、自動化および生産性ツールです。","(笔记！, )
MonkeyPaste 是一款独一无二的剪贴板管理器、自动化和生产力工具。"
ReleaseNotes,3,Text,,Initial Release,初回リリース,初始发行
Title,4,Text,,MonkeyPaste,MonkeyPaste,MonkeyPaste
ShortTitle,5,Text,,,,
SortTitle,6,Text,,,,
VoiceTitle,7,Text,,,,
ShortDescription,8,Text,,"The clipboard is a jungle. MonkeyPaste is the KING! Swing from app to app, copying this and pasting that like never before with MonkeyPaste!! A brand-new, cutting edge clipboard and analytic automation tool!!!",クリップボードはジャングルです。,剪贴板是一片丛林。
DevStudio,9,Text,,Thomas Kefauver,Thomas Kefauver,Thomas Kefauver
CopyrightTrademarkInformation,12,Text,,,,
AdditionalLicenseTerms,13,Text,,,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,listing_product_1.0.7.0/ss1.png,listing_product_1.0.7.0/ss1.png,listing_product_1.0.7.0/ss1.png
